split,label,score,n,mean,std,median,p90
test,chatter,global_mse,27,0.006026622373610735,0.0023108727764338255,0.006602343637496233,0.00837868545204401
test,chatter,global_mae,27,0.04886817932128906,0.012021210044622421,0.05065281689167023,0.061816632747650146
test,chatter,ver_max,27,0.00825057178735733,0.002799773821607232,0.009635021910071373,0.011222034692764282
test,chatter,ver_topk,27,0.007734736427664757,0.002727721817791462,0.009041929617524147,0.010141488164663315
test,no_chatter,global_mse,48,0.00099126563873142,0.0007478194311261177,0.0008560190908610821,0.0016971522709354758
test,no_chatter,global_mae,48,0.01584850437939167,0.007368141785264015,0.01611819863319397,0.024775635451078415
test,no_chatter,ver_max,48,0.0016136894701048732,0.0015527833020314574,0.0012469618814066052,0.0031659037340432405
test,no_chatter,ver_topk,48,0.0013799183070659637,0.0012530029052868485,0.0011207670904695988,0.0025086309760808945
validation,chatter,global_mse,34,0.007482497952878475,0.004966411739587784,0.005253392271697521,0.014372684992849827
validation,chatter,global_mae,34,0.05345115810632706,0.02312631718814373,0.04394356533885002,0.08425524830818176
validation,chatter,ver_max,34,0.010816286318004131,0.006408285349607468,0.009846046566963196,0.01869865134358406
validation,chatter,ver_topk,34,0.009619097225368023,0.005864554550498724,0.008207850158214569,0.01680852472782135
validation,no_chatter,global_mse,70,0.0009586802334524691,0.0008777172188274562,0.0008192058303393424,0.0015724223339930177
validation,no_chatter,global_mae,70,0.015646109357476234,0.007893487811088562,0.015512647107243538,0.024535734206438065
validation,no_chatter,ver_max,70,0.0015010596252977848,0.0015114261768758297,0.001212049974128604,0.0028958264738321304
validation,no_chatter,ver_topk,70,0.0012707494897767901,0.001224384643137455,0.0010912695433944464,0.0022698375396430492
